Student_ID,Math,English,Science,Study_Hours,Attendance,Sleep_Hours,Mobile_Usage,Assignment_Score,Previous_Exam_Score,Performance,Risk_Level,Weak_Subject
37,1.13,-0.85,-1.58,-0.09,-0.64,-0.14,1.87,0.6,-0.11,Average,Medium Risk,Science
38,0.23,0.52,1.39,0.87,1.47,1.82,-0.55,-0.34,1.51,Good,Low Risk,Math
39,0.71,1.04,-0.26,-0.09,1.47,-0.79,0.42,-1.13,0.03,Average,Low Risk,Science
40,-0.05,0.38,1.67,0.39,1.75,1.17,-1.03,-1.18,-0.99,Average,Low Risk,Math
41,1.27,-0.09,0.83,1.83,-1.13,1.17,-0.07,-0.85,1.46,Average,High Risk,English
42,0.04,1.42,0.92,-1.06,1.47,-0.14,0.9,1.67,0.91,Good,Low Risk,Math
43,1.04,-0.61,-1.44,0.87,-1.27,-0.79,-1.52,-1.5,-1.27,Poor,High Risk,Science
44,1.46,-0.19,0.07,1.35,-1.34,0.52,0.9,0.78,0.68,Good,High Risk,English
45,-0.05,0.43,-1.58,0.39,-1.48,1.82,-0.07,-1.55,-1.08,Poor,High Risk,Science
46,0.38,0.61,0.45,-1.54,1.82,0.52,1.87,1.48,1.46,Good,High Risk,Math
47,1.23,-0.47,0.45,-0.09,1.82,0.52,0.42,-0.01,-0.3,Average,Low Risk,English
48,-1.33,-0.33,-0.78,0.87,1.61,-0.79,-0.55,-0.06,1.42,Average,Low Risk,Math
49,1.37,0.66,1.01,1.35,-0.57,1.82,0.9,-0.71,1.42,Good,Medium Risk,English
50,1.7,0.9,0.31,0.39,0.77,-1.44,0.42,0.83,-0.3,Good,Low Risk,Science
51,0.38,1.61,-0.45,-0.58,-0.15,1.17,0.9,-0.15,1.23,Average,Medium Risk,Science
52,-1.51,0.8,-0.07,-0.09,0.27,0.52,-1.52,-1.08,-1.22,Poor,Low Risk,Math
53,-0.9,1.18,-0.12,1.35,-1.2,-0.79,-0.07,-0.15,-1.36,Average,High Risk,Math
54,-0.14,-1.46,-1.11,1.35,-0.15,-0.79,-1.52,0.46,-1.18,Poor,Medium Risk,English
55,0.85,1.75,0.73,-0.58,-0.71,1.82,0.9,1.2,0.12,Good,Medium Risk,Science
56,-0.76,-0.05,-1.44,-1.06,-0.64,1.82,-1.03,-1.55,-0.67,Poor,Medium Risk,Science
57,0.56,1.09,1.67,-1.06,1.82,-1.44,-0.55,0.5,1.51,Good,Low Risk,Math
58,0.19,-1.37,-0.4,0.39,1.26,-1.44,-0.55,-1.13,-1.04,Poor,Low Risk,English
59,-0.43,0.9,1.67,0.39,1.89,-1.44,-0.07,1.25,1.6,Good,Low Risk,Math
60,0.52,0.19,-0.26,-0.58,-0.36,1.17,-0.55,1.62,0.95,Good,Medium Risk,Science
61,0.85,1.37,0.97,-0.58,-0.15,-1.44,0.9,1.62,0.17,Good,Medium Risk,Math
62,-0.19,-1.51,-1.53,1.83,0.13,-0.14,-0.55,0.69,-0.76,Poor,Medium Risk,English
63,-1.42,1.09,1.58,1.83,1.12,1.82,-1.52,-0.24,1.74,Average,Low Risk,Math
64,0.42,1.61,0.59,1.35,0.98,-1.44,1.87,1.02,1.74,Good,Low Risk,Math
65,1.27,1.61,-0.96,1.35,0.63,-0.79,0.9,1.72,-0.81,Good,Low Risk,Science
66,0.52,-0.8,-1.48,1.35,0.56,-1.44,0.9,-0.99,-0.48,Poor,Low Risk,Science
67,0.94,0.61,0.73,0.87,0.13,-0.79,-0.55,-0.94,1.46,Good,Medium Risk,English
68,-1.18,-0.9,-1.48,1.83,-1.13,0.52,0.42,-0.06,-0.48,Poor,High Risk,Science
69,-1.33,0.1,0.17,-1.54,0.06,-0.79,-1.03,1.44,-1.08,Average,High Risk,Math
70,0.85,1.28,0.92,-0.58,-1.41,-0.14,0.42,1.34,-0.48,Good,High Risk,Math
71,0.47,-1.18,-1.58,0.87,1.89,1.82,-0.07,-1.5,0.86,Average,Low Risk,Science
72,0.33,1.23,1.72,0.39,-1.27,-0.79,-0.07,-1.13,1.23,Good,High Risk,Math
73,-1.18,1.56,-1.48,0.87,-0.01,0.52,-1.52,0.41,-0.25,Average,Medium Risk,Science
74,1.51,0.33,1.39,1.35,-1.34,-0.14,-1.52,0.13,-0.34,Good,High Risk,English
75,0.33,1.46,1.06,0.39,0.13,1.17,-0.07,-0.29,0.86,Good,Medium Risk,Math
76,-0.38,-0.71,0.26,0.39,-0.78,-0.14,1.39,-1.27,-1.22,Poor,Medium Risk,English
77,0.56,1.75,-0.02,0.39,0.27,0.52,-1.52,0.55,0.31,Good,Low Risk,Science
78,-1.37,-0.47,0.17,-1.54,1.89,0.52,1.39,-1.36,-1.18,Poor,High Risk,Math
79,-1.56,-1.27,-0.3,1.35,0.2,-0.14,0.9,-0.1,-1.32,Poor,Low Risk,Math
80,1.32,0.99,0.59,1.35,0.56,-0.79,-0.55,1.39,-0.39,Good,Low Risk,Science
81,-1.37,-1.27,0.59,-1.06,1.68,1.17,-1.52,-0.66,-0.9,Poor,Low Risk,Math
82,0.8,1.37,0.5,0.39,1.82,1.17,-1.52,1.3,1.0,Good,Low Risk,Science
83,1.08,-0.66,-1.06,1.83,-0.43,1.82,-0.55,1.2,0.26,Average,Medium Risk,Science
84,1.7,-1.51,0.83,1.83,0.06,0.52,0.42,-0.2,1.42,Average,Medium Risk,English
85,0.94,1.09,-0.26,-1.54,1.26,0.52,1.39,-0.62,1.42,Average,High Risk,Science
86,1.37,-1.04,0.92,-1.54,0.56,1.82,1.39,0.64,1.65,Good,High Risk,English
87,0.66,1.65,0.83,-1.06,1.54,-1.44,1.39,1.25,-0.34,Good,Low Risk,Math
88,0.33,0.52,0.12,0.87,0.41,-0.14,-0.55,1.02,1.6,Good,Low Risk,Science
89,-1.33,-1.37,-0.49,-0.09,-0.99,0.52,1.87,0.08,-1.32,Poor,High Risk,English
90,-1.33,0.14,-1.53,-1.06,1.19,-1.44,-0.07,-0.9,0.44,Poor,Low Risk,Science
91,-0.85,-1.51,-0.45,1.83,1.33,-0.79,1.87,-1.13,-1.5,Poor,Low Risk,English
92,-1.04,0.24,-1.15,-1.54,-1.48,0.52,1.87,-0.99,-1.41,Poor,High Risk,Science
93,-0.52,-0.8,-0.49,1.35,0.27,0.52,-1.52,-0.76,-1.18,Poor,Low Risk,English
94,0.71,1.65,0.21,0.87,1.89,1.82,0.9,1.48,1.65,Good,Low Risk,Science
95,0.38,0.43,-0.73,1.83,-1.48,1.17,-0.07,1.62,1.65,Good,High Risk,Science
96,-0.99,-0.33,0.35,-1.06,-0.71,-0.14,-1.03,0.08,-0.48,Average,Medium Risk,Math
97,-1.56,-1.08,1.11,-0.09,-0.5,-1.44,-0.07,-1.5,-1.46,Poor,Medium Risk,Math
98,-1.09,-1.56,-1.15,1.35,0.27,-0.79,1.87,-0.24,0.26,Poor,Low Risk,English
99,-1.18,-1.13,0.83,-0.58,-0.5,-0.14,1.87,-1.22,-1.22,Poor,Medium Risk,Math
100,0.85,1.28,0.02,-1.06,-0.29,1.82,0.9,1.2,1.65,Good,Medium Risk,Science
101,-0.71,0.9,-0.45,0.39,-0.01,-0.14,-1.03,1.58,0.49,Average,Medium Risk,Math
102,1.56,0.47,0.26,0.39,-0.71,1.17,0.42,0.74,-0.39,Average,Medium Risk,Science
103,-0.62,-1.56,-1.25,-0.58,-0.43,1.17,-0.55,0.22,-1.04,Poor,Medium Risk,English
104,-0.38,-0.09,1.48,0.87,1.68,-0.14,0.9,0.6,1.46,Good,Low Risk,Math
105,1.46,-1.18,0.12,1.83,-1.34,0.52,-1.52,1.53,1.28,Good,High Risk,English
106,-1.18,0.0,-0.92,1.35,1.89,-0.14,0.9,-1.36,-0.67,Poor,Low Risk,Math
107,-1.09,-0.57,-0.68,-1.06,-1.13,1.17,-1.03,-0.15,-0.81,Poor,High Risk,Math
108,0.99,1.37,0.59,-1.06,-0.22,-0.14,-1.03,1.39,-1.18,Good,Medium Risk,Science
109,1.32,-0.33,-1.06,1.83,0.63,-0.79,-0.55,-0.71,-0.57,Average,Low Risk,Science
110,-0.05,-0.19,-1.39,1.35,1.82,-0.79,-0.07,-1.46,-1.32,Poor,Low Risk,Science
111,1.04,0.57,-0.96,0.87,0.41,1.82,1.87,-1.46,0.63,Average,Low Risk,Science
112,1.65,0.1,-0.4,-0.58,-1.34,-1.44,-1.52,1.72,0.72,Good,High Risk,Science
113,-0.14,-1.32,-1.58,-0.09,0.41,0.52,-1.03,-1.41,-0.99,Poor,Low Risk,Science
114,0.8,0.24,0.45,0.39,0.2,-0.79,1.87,1.3,-0.48,Average,Low Risk,English
115,-1.37,-0.09,-1.53,0.39,0.06,-0.14,0.42,-0.2,0.07,Poor,Medium Risk,Science
116,0.8,0.1,0.78,-1.54,-0.01,1.82,0.9,1.39,0.82,Good,High Risk,English
117,1.75,0.71,-0.96,-1.54,1.19,1.17,1.39,-0.8,0.4,Average,High Risk,Science
118,0.33,-0.09,-1.44,1.83,1.96,-1.44,1.87,-1.13,-0.95,Poor,Low Risk,Science
119,-0.57,-0.52,0.26,1.35,1.75,-0.79,1.39,0.55,1.42,Average,Low Risk,Math
120,-0.62,-1.08,-0.02,0.87,0.06,-0.14,1.87,-1.36,-0.3,Poor,Medium Risk,English
121,-0.99,0.61,-0.54,-1.54,-1.48,0.52,0.9,0.6,1.65,Average,High Risk,Math
122,0.52,0.95,-0.78,1.35,0.98,-1.44,1.39,-0.34,0.49,Average,Low Risk,Science
123,-0.29,-0.09,0.87,1.35,1.68,-1.44,-0.55,-1.46,0.44,Average,Low Risk,Math
124,1.75,0.99,-0.16,1.83,1.33,-0.79,-0.07,-0.57,-0.07,Average,Low Risk,Science
125,-0.19,-1.56,-0.87,-1.06,-0.08,-0.79,-1.03,0.22,-0.62,Average,Medium Risk,English
126,-1.56,0.1,-0.21,1.35,0.98,-1.44,-1.52,-1.18,-0.9,Poor,Low Risk,Math
127,1.42,1.18,1.63,0.39,1.4,-0.79,0.42,0.27,0.91,Good,Low Risk,English
128,-1.23,-1.32,1.11,-1.06,-1.2,-0.14,1.87,0.55,1.51,Average,High Risk,English
129,1.56,1.51,0.45,1.35,-0.64,0.52,-0.55,1.44,0.21,Good,Medium Risk,Science
130,1.27,0.0,0.31,-1.06,1.68,0.52,1.87,1.16,0.77,Good,Low Risk,English
131,-0.1,1.13,-0.92,-1.54,0.27,0.52,-1.52,1.3,-0.48,Average,High Risk,Science
132,-0.9,-1.51,-0.45,0.39,-0.36,-0.79,1.39,-0.43,-0.3,Poor,Medium Risk,English
133,0.28,-1.56,-1.39,-1.06,-1.13,0.52,1.87,-0.43,-1.41,Poor,High Risk,English
134,0.66,1.32,-0.54,-0.58,0.06,1.17,1.87,1.62,1.42,Good,Medium Risk,Science
135,1.75,-0.85,1.06,-1.54,1.82,1.82,0.42,1.11,-0.2,Good,High Risk,English
136,-0.62,0.43,-1.44,-0.09,-1.48,1.82,-0.07,-0.66,-1.5,Poor,High Risk,Science
137,1.37,0.9,0.92,0.87,-0.71,1.17,-1.03,1.25,1.56,Good,Medium Risk,English
138,-0.66,-1.32,0.4,0.87,-0.57,-1.44,0.9,-1.32,-0.76,Poor,Medium Risk,English
139,0.75,0.76,1.11,-0.09,-0.43,-1.44,1.39,-1.36,0.54,Average,Medium Risk,Math
140,1.65,0.99,-1.58,-0.58,1.12,-0.79,-1.52,1.34,1.33,Good,Low Risk,Science
141,-1.09,-1.04,-1.25,-0.58,0.91,-1.44,0.9,-0.34,-0.2,Poor,Low Risk,Science
142,-0.29,0.61,1.44,-1.06,-1.13,1.82,0.42,-1.32,-0.71,Average,High Risk,Math
143,0.8,0.0,0.4,1.35,1.33,-1.44,1.87,1.06,0.63,Good,Low Risk,English
144,0.19,0.76,1.72,-0.58,-0.71,-1.44,0.9,0.74,1.74,Good,Medium Risk,Math
145,-0.99,-1.41,-0.59,0.87,1.26,1.82,0.9,0.74,1.14,Average,Low Risk,English
146,0.9,0.38,-0.26,-1.06,1.82,1.17,1.87,-0.71,1.65,Average,Low Risk,Science
147,1.18,-0.19,0.54,0.87,1.19,-0.79,0.9,0.27,-0.34,Average,Low Risk,English
148,-0.66,-1.13,0.59,-0.09,-1.48,1.17,-0.07,1.2,-0.2,Average,High Risk,English
149,-1.33,-0.94,-1.34,-0.58,0.84,1.17,0.42,-0.94,-0.95,Poor,Low Risk,Math
150,0.28,1.09,1.06,1.83,-0.15,-0.79,-0.07,-0.99,-1.27,Average,Medium Risk,Math
151,-1.47,-0.71,-1.2,1.35,-1.13,-0.79,1.39,-1.32,-0.16,Poor,High Risk,Math
152,-1.09,0.61,1.2,0.39,0.2,-0.79,0.9,-1.27,-0.16,Average,Low Risk,Math
153,0.33,0.05,0.64,1.83,0.41,0.52,0.42,0.55,1.7,Good,Low Risk,English
154,0.47,-1.08,-1.53,-1.06,0.77,-0.79,0.42,-0.71,0.21,Average,Low Risk,Science
155,-0.9,-0.94,1.63,-1.54,0.27,1.82,-1.52,0.27,-0.76,Average,High Risk,English
156,0.8,0.8,-0.49,-0.58,1.89,1.17,-0.55,1.53,1.6,Good,Low Risk,Science
157,0.52,-1.32,0.83,-0.58,-1.13,1.82,-0.07,-1.13,1.7,Average,High Risk,English
158,-0.71,-1.56,-1.06,-1.54,0.48,-0.14,1.87,-0.48,-0.02,Poor,High Risk,English
159,1.04,0.99,1.25,1.83,-0.64,-0.14,0.9,1.02,0.86,Good,Medium Risk,English
160,0.71,0.8,0.59,1.83,-0.71,-0.79,0.9,-0.66,1.37,Good,Medium Risk,Science
161,1.23,1.28,1.2,0.39,-0.85,-1.44,1.87,-0.43,-0.25,Good,Medium Risk,Math
162,-0.29,-0.71,-0.82,-1.54,-0.15,-0.79,0.42,-0.66,-1.22,Poor,High Risk,Science
163,-1.47,-1.32,-1.58,-1.54,-0.85,0.52,0.42,0.18,-1.41,Poor,High Risk,Science
164,-1.37,-0.52,-1.39,1.35,-1.27,1.82,-0.07,1.02,-1.27,Poor,High Risk,Math
165,0.28,1.23,-1.11,0.87,0.77,-1.44,0.9,1.02,1.6,Good,Low Risk,Science
166,0.52,-0.8,1.58,-1.54,0.06,1.82,1.39,0.69,1.42,Good,High Risk,English
167,-1.37,-0.33,0.31,1.35,0.91,-0.14,1.87,-0.8,-1.13,Poor,Low Risk,Math
168,-1.18,-1.37,-0.78,-1.06,-0.43,-1.44,-0.07,-0.71,-0.76,Poor,Medium Risk,English
169,-0.62,-0.23,-1.2,-1.06,-1.34,0.52,-1.52,-0.99,-0.9,Poor,High Risk,Science
170,1.7,-1.13,0.26,0.87,1.96,1.17,-1.52,1.3,1.37,Good,Low Risk,English
171,-0.81,0.1,0.97,-1.06,-0.22,1.82,-1.52,1.72,1.0,Good,Medium Risk,Math
172,-0.76,1.46,1.67,0.87,-0.99,1.82,0.42,0.08,1.09,Good,High Risk,Math
173,-0.19,-0.05,1.06,1.83,1.61,1.82,1.87,0.04,1.33,Average,Low Risk,Math
174,0.19,-0.38,0.12,1.83,0.48,-0.14,-0.55,1.16,0.54,Average,Low Risk,English
175,-0.38,-0.8,-1.58,0.39,-0.64,0.52,-1.52,-1.27,-1.08,Poor,Medium Risk,Science
176,-0.47,-0.09,1.72,-0.09,1.12,0.52,-1.52,1.06,0.86,Good,Low Risk,Math
177,-0.66,1.42,-0.3,-0.58,1.4,-1.44,-0.07,1.3,0.63,Average,Low Risk,Math
178,-1.23,0.05,0.97,0.87,-1.55,0.52,0.9,-0.71,-1.22,Average,High Risk,Math
179,0.94,0.24,1.16,-1.06,1.61,-1.44,1.87,-0.2,0.31,Average,Low Risk,English
180,1.18,1.46,-0.3,-1.54,1.82,1.17,-0.07,-0.06,1.09,Good,High Risk,Science
181,-1.18,0.9,-1.29,0.87,1.54,0.52,0.9,-0.85,-0.81,Poor,Low Risk,Science
182,1.18,1.75,-0.82,0.39,-0.71,0.52,-0.07,1.34,1.65,Good,Medium Risk,Science
183,-0.24,-0.47,-1.58,-1.54,-1.48,1.17,1.87,-0.48,-1.27,Poor,High Risk,Science
184,1.37,0.14,-0.68,0.39,-0.78,-0.14,-1.03,0.78,1.42,Good,Medium Risk,Science
185,0.94,-1.41,0.59,0.87,-0.99,-0.79,0.42,-0.43,1.46,Average,High Risk,English
186,1.42,0.33,-0.82,-0.58,-1.34,-0.14,1.39,0.92,1.33,Good,High Risk,Science
187,-1.51,-0.52,-0.87,1.35,1.4,-0.14,-0.55,0.27,-1.18,Poor,Low Risk,Math
188,0.99,-1.37,0.31,-1.54,0.48,-1.44,1.39,-1.55,-1.13,Average,High Risk,English
189,1.56,-1.41,0.59,-0.09,1.33,-1.44,1.87,1.44,1.28,Good,Low Risk,English
190,1.56,1.56,0.54,0.87,-1.48,-0.14,0.9,-0.29,-0.2,Good,High Risk,Science
191,0.66,1.32,1.58,-1.06,-1.2,0.52,1.39,0.92,1.37,Good,High Risk,Math
192,-1.14,0.66,-1.06,-1.06,-1.34,-0.79,-1.52,1.48,-0.76,Average,High Risk,Math
193,-1.33,-0.05,-0.02,0.87,0.06,0.52,0.9,-0.15,-1.5,Average,Medium Risk,Math
194,-1.04,-0.52,0.92,1.35,-0.01,1.17,1.87,-1.41,-1.18,Poor,Medium Risk,Math
195,0.47,0.99,1.63,0.39,1.75,1.17,-1.52,1.39,0.63,Good,Low Risk,Math
196,-1.09,0.8,-0.26,1.83,-0.92,-1.44,0.42,0.64,-0.39,Average,High Risk,Math
197,0.14,-0.09,-0.35,0.39,1.61,-0.14,-1.03,-1.55,-1.27,Poor,Low Risk,Science
198,1.18,0.71,1.16,0.39,-0.08,-1.44,1.39,1.62,0.63,Good,Medium Risk,English
199,0.38,-0.28,-0.82,1.83,-0.22,1.82,0.9,-1.55,-1.41,Poor,Medium Risk,Science
200,1.56,0.1,1.16,-0.58,-0.22,-0.79,0.9,-1.46,1.56,Good,Medium Risk,English
201,-1.14,-0.75,-1.01,0.39,0.56,-0.14,1.39,-1.08,-0.48,Poor,Low Risk,Math
202,1.6,0.28,1.44,1.83,-1.2,1.82,-1.03,0.83,-0.34,Good,High Risk,English
203,-0.33,-1.18,0.4,-1.54,1.89,1.82,-1.52,-1.36,-0.85,Poor,High Risk,English
204,0.28,-1.51,-1.58,0.87,-0.71,1.82,1.39,-0.24,-1.22,Poor,Medium Risk,Science
205,-0.62,-0.42,-0.49,-1.54,-1.55,0.52,-1.03,-1.18,-1.32,Poor,High Risk,Math
206,-0.52,0.85,-0.26,-0.58,-1.27,1.82,-1.03,0.18,0.07,Average,High Risk,Math
207,-0.57,-1.51,-1.15,-0.58,0.63,1.17,-1.03,-1.55,1.51,Poor,Low Risk,English
208,0.8,-0.09,1.67,-0.09,-0.71,-0.14,-0.55,-1.22,-0.11,Average,Medium Risk,English
209,-0.66,-0.75,-0.73,-1.54,-1.06,0.52,-0.55,-1.5,-0.95,Poor,High Risk,English
210,-0.19,-1.27,-1.34,-1.06,0.27,-0.14,-0.07,-0.62,-0.85,Poor,Low Risk,Science
211,-1.47,-0.75,0.07,-0.58,0.48,0.52,-1.03,-0.01,-0.95,Poor,Low Risk,Math
212,-0.33,-0.33,1.63,1.35,-0.85,1.17,-1.03,0.32,-0.44,Average,Medium Risk,Math
213,-0.71,0.57,1.39,0.39,0.7,1.17,-0.07,1.53,0.26,Good,Low Risk,Math
214,-0.05,1.23,0.83,-1.54,0.2,-0.79,1.87,-0.38,0.31,Average,High Risk,Math
215,-1.09,-0.85,-1.25,-1.06,-0.71,-1.44,-0.55,-0.24,-0.11,Poor,Medium Risk,Science
216,-1.33,0.38,-0.78,-1.06,-0.78,1.82,-0.07,-1.08,-0.34,Poor,Medium Risk,Math
217,-0.57,-1.56,-0.45,-1.06,1.89,1.82,-0.55,0.04,-0.34,Average,Low Risk,English
218,0.47,-1.46,0.92,-0.09,-1.2,-0.14,-0.07,-1.55,0.86,Average,High Risk,English
219,1.08,1.37,0.4,0.87,1.33,0.52,0.9,1.67,1.28,Good,Low Risk,Science
220,-0.95,-1.56,1.53,-0.09,1.12,-0.14,0.9,-0.52,1.0,Average,Low Risk,English
221,-0.19,-0.85,-1.48,0.39,0.2,1.17,-1.03,-1.32,-0.76,Poor,Low Risk,Science
222,1.13,-1.23,0.07,0.87,1.19,-1.44,0.42,0.92,0.54,Average,Low Risk,English
223,-0.24,0.05,0.21,0.87,1.96,0.52,1.87,-0.52,0.07,Average,Low Risk,Math
224,0.8,0.43,1.44,0.87,-0.71,-0.79,-1.52,1.44,1.05,Good,Medium Risk,English
225,1.46,0.33,1.25,1.83,-1.27,-1.44,-0.55,-0.76,0.68,Good,High Risk,English
226,1.46,0.8,0.21,1.35,0.13,1.82,0.9,-1.46,-1.46,Average,Medium Risk,Science
227,-1.51,0.47,-0.54,-0.58,-1.55,-0.79,1.39,-0.66,-1.41,Poor,High Risk,Math
228,-1.42,-0.75,-0.82,0.87,-0.5,1.82,-0.55,0.46,-0.95,Poor,Medium Risk,Math
229,1.27,-0.42,-0.92,-1.06,1.68,-0.14,-0.07,-0.2,-0.53,Average,Low Risk,Science
230,0.42,0.05,-0.63,1.83,1.54,-0.14,-1.03,1.53,1.56,Good,Low Risk,Science
231,1.56,0.38,-1.39,-1.06,-0.5,-0.14,-1.52,0.69,0.03,Average,Medium Risk,Science
232,-0.76,1.51,-0.07,0.39,-0.64,-1.44,-1.52,1.11,1.0,Good,Medium Risk,Math
233,-0.0,1.23,0.92,-0.58,1.82,1.82,-1.03,0.46,1.56,Good,Low Risk,Math
234,-0.85,-1.32,0.59,1.83,-0.22,1.17,1.87,-0.9,1.0,Average,Medium Risk,English
235,-0.19,1.04,-0.54,0.39,0.56,0.52,0.9,1.44,1.51,Good,Low Risk,Science
236,0.9,1.28,-1.01,-0.58,-0.78,1.82,-1.52,0.83,-0.71,Average,Medium Risk,Science
237,-0.71,-1.37,-1.48,1.83,-0.92,-0.14,0.9,0.6,-0.25,Poor,High Risk,Science
238,0.61,1.23,1.01,0.87,-1.27,1.17,-1.52,1.25,-0.25,Good,High Risk,Math
239,-0.71,-1.18,-1.48,-0.09,-1.13,-1.44,-1.03,0.88,-0.85,Poor,High Risk,Science
240,-1.28,1.13,1.11,1.83,1.75,-0.79,-0.55,0.83,0.4,Average,Low Risk,Math
241,-1.09,-1.23,0.45,-0.09,1.19,1.17,-0.55,-1.41,1.46,Average,Low Risk,English
242,-0.76,-0.75,-0.4,0.87,0.98,-0.14,-0.07,0.22,-1.5,Poor,Low Risk,Math
243,-0.81,0.71,0.26,1.83,1.96,0.52,-0.55,-1.27,0.44,Average,Low Risk,Math
244,-1.23,-1.23,-0.59,-1.06,1.4,-0.79,-1.03,-1.13,-0.9,Poor,Low Risk,Math
245,0.04,1.65,0.54,1.83,0.98,1.82,-0.55,-1.27,1.0,Average,Low Risk,Math
246,0.19,1.37,-1.01,-0.58,0.56,1.82,1.87,-0.57,-0.57,Average,Low Risk,Science
247,1.46,0.19,-0.12,0.87,1.61,-0.14,0.42,-0.2,1.05,Average,Low Risk,Science
248,-0.76,-0.33,-1.15,-0.58,1.75,1.17,0.42,-0.9,-1.36,Poor,Low Risk,Science
249,-1.47,-0.85,-0.4,1.83,0.13,-0.14,-0.07,-1.5,0.17,Poor,Medium Risk,Math
250,1.23,0.43,0.07,0.87,-1.06,0.52,-1.52,1.06,1.6,Good,High Risk,Science
251,0.56,1.42,0.17,-1.06,-0.43,1.82,-1.03,-0.01,1.51,Good,Medium Risk,Science
252,-0.14,-0.05,-1.25,-0.58,-1.41,-0.79,1.39,-0.9,0.17,Average,High Risk,Science
253,-0.47,-1.32,0.07,-0.58,0.84,-0.79,0.42,-0.66,1.0,Average,Low Risk,English
254,1.6,-1.51,0.5,0.87,1.82,-0.14,1.87,0.74,0.54,Average,Low Risk,English
